"Category","Stratum","Raw_N","Raw_Percent","Weighted_Percent","Weighted_SE","Cohort"
"Diet (Caloric Intake)","Medium Calorie (Tertile 2)",113,31.3888888888889,27.9807108001426,4.05007168007479,"Gold MASH (FAST >= 0.35)"
"Diet (Caloric Intake)","Missing / Unknown",57,13.6690647482014,NA,NA,"Gold MASH (FAST >= 0.35)"
"Physical Activity","Active",149,35.7314148681055,45.8343896424744,4.31305944046572,"Gold MASH (FAST >= 0.35)"
"Physical Activity","Inactive",268,64.2685851318945,54.1656103575258,4.31305944046572,"Gold MASH (FAST >= 0.35)"
"Physical Activity","Missing / Unknown",0,0,NA,NA,"Gold MASH (FAST >= 0.35)"
"Smoking Status","Current Smoker",63,15.1079136690647,16.794596475381,2.22083509612001,"Gold MASH (FAST >= 0.35)"
"Smoking Status","Former Smoker",128,30.6954436450839,32.3878940291776,2.92928695062107,"Gold MASH (FAST >= 0.35)"
"Smoking Status","Never Smoker",226,54.1966426858513,50.8175094954416,3.69138255431528,"Gold MASH (FAST >= 0.35)"
"Smoking Status","Missing / Unknown",0,0,NA,NA,"Gold MASH (FAST >= 0.35)"
"Mortality (2017-2020 cohort only)","No Cases",0,0,NA,NA,"Gold MASH (FAST >= 0.35)"
"Obesity/BMI","Normal (18.5-24.9)",3,1.76470588235294,1.28436651432885,1.05551764322556,"Gold Cirrhosis (LSM > 13.6)"
"Obesity/BMI","Obese (>=30.0)",145,85.2941176470588,87.2113417258835,3.66755007879804,"Gold Cirrhosis (LSM > 13.6)"
"Obesity/BMI","Overweight (25.0-29.9)",22,12.9411764705882,11.5042917597875,3.5678480501326,"Gold Cirrhosis (LSM > 13.6)"
"Obesity/BMI","Missing / Unknown",2,1.16279069767442,NA,NA,"Gold Cirrhosis (LSM > 13.6)"
"Type 2 DM","Diabetes",104,60.4651162790698,62.3843541388285,6.71535781928638,"Gold Cirrhosis (LSM > 13.6)"
"Type 2 DM","No Diabetes",68,39.5348837209302,37.6156458611714,6.71535781928638,"Gold Cirrhosis (LSM > 13.6)"
"Type 2 DM","Missing / Unknown",0,0,NA,NA,"Gold Cirrhosis (LSM > 13.6)"
"Hypertension","Hypertension",120,69.7674418604651,65.8051639276234,6.45176290200311,"Gold Cirrhosis (LSM > 13.6)"
"Hypertension","No Hypertension",52,30.2325581395349,34.1948360723766,6.45176290200311,"Gold Cirrhosis (LSM > 13.6)"
"Hypertension","Missing / Unknown",0,0,NA,NA,"Gold Cirrhosis (LSM > 13.6)"
"Dyslipidemia","Dyslipidemia",140,81.3953488372093,83.4950928339493,4.17938540885932,"Gold Cirrhosis (LSM > 13.6)"
"Dyslipidemia","No Dyslipidemia",32,18.6046511627907,16.5049071660506,4.17938540885932,"Gold Cirrhosis (LSM > 13.6)"
"Dyslipidemia","Missing / Unknown",0,0,NA,NA,"Gold Cirrhosis (LSM > 13.6)"
"Diet (Caloric Intake)","High Calorie (Tertile 3)",61,39.3548387096774,41.6779953671224,6.18674469406501,"Gold Cirrhosis (LSM > 13.6)"
"Diet (Caloric Intake)","Low Calorie (Tertile 1)",43,27.741935483871,33.6629783339453,5.42052062558284,"Gold Cirrhosis (LSM > 13.6)"
"Diet (Caloric Intake)","Medium Calorie (Tertile 2)",51,32.9032258064516,24.6590262989323,4.93815085390377,"Gold Cirrhosis (LSM > 13.6)"
"Diet (Caloric Intake)","Missing / Unknown",17,9.88372093023256,NA,NA,"Gold Cirrhosis (LSM > 13.6)"
"Physical Activity","Active",57,33.1395348837209,44.4157193984076,7.79885022709817,"Gold Cirrhosis (LSM > 13.6)"
"Physical Activity","Inactive",115,66.8604651162791,55.5842806015923,7.79885022709816,"Gold Cirrhosis (LSM > 13.6)"
"Physical Activity","Missing / Unknown",0,0,NA,NA,"Gold Cirrhosis (LSM > 13.6)"
"Smoking Status","Current Smoker",20,11.6279069767442,10.3548775997544,3.42955402281069,"Gold Cirrhosis (LSM > 13.6)"
"Smoking Status","Former Smoker",54,31.3953488372093,33.8658188076301,6.16340235727122,"Gold Cirrhosis (LSM > 13.6)"
"Smoking Status","Never Smoker",98,56.9767441860465,55.7793035926154,6.57210224265033,"Gold Cirrhosis (LSM > 13.6)"
"Smoking Status","Missing / Unknown",0,0,NA,NA,"Gold Cirrhosis (LSM > 13.6)"
"Mortality (2017-2020 cohort only)","No Cases",0,0,NA,NA,"Gold Cirrhosis (LSM > 13.6)"
